cars_per_hour,temperature_at_2m,wind_speed,temperature_diff_2m_25m,wind_direction,hour_of_day,day,target
7.744140148162842,-4.400000095367432,4.199999809265137,0.0,18.0,19.0,116.0,3.663559913635254
8.033980369567871,-5.699999809265137,4.800000190734863,-0.3000000119209289,69.0999984741211,9.0,506.0,3.0445199012756348
4.700479984283447,-13.5,4.300000190734863,0.2000000029802322,80.0,3.0,95.0,3.71357011795044
7.525100231170654,1.399999976158142,3.0,0.1000000014901161,177.0,22.0,161.0,2.9444398880004883
7.762599945068359,4.099999904632568,5.599999904632568,1.100000023841858,287.0,7.0,80.0,4.0604400634765625
7.886829853057861,5.800000190734863,2.299999952316284,-0.1000000014901161,200.0,9.0,33.0,3.68887996673584
7.815209865570068,2.700000047683716,1.899999976158142,0.4000000059604645,228.0,7.0,129.0,3.332200050354004
7.777790069580078,7.099999904632568,8.899999618530273,0.2000000029802322,220.0,15.0,155.0,3.367300033569336
6.891630172729492,4.099999904632568,2.0,0.1000000014901161,183.0,9.0,132.0,2.079440116882324
7.6774001121521,1.100000023841858,5.199999809265137,0.1000000014901161,43.09999847412109,10.0,480.0,1.9459099769592283
5.7137298583984375,-9.0,3.400000095367432,0.0,80.0,6.0,98.0,3.332200050354004
8.334710121154785,1.600000023841858,4.400000095367432,-0.3000000119209289,78.0999984741211,16.0,558.0,3.2188799381256104
4.653960227966309,-0.4000000059604645,5.699999809265137,0.800000011920929,267.0,3.0,121.0,1.0986100435256958
7.388949871063232,-4.800000190734863,6.0,0.0,81.0,20.0,122.0,5.384500026702881
7.817629814147949,-0.8999999761581421,1.399999976158142,-0.3000000119209289,236.0,15.0,51.0,3.931829929351807
4.9698100090026855,-0.5,0.6000000238418579,1.7000000476837158,341.1000061035156,4.0,552.0,3.367300033569336
7.803840160369873,-1.0,1.7999999523162842,0.0,16.0,7.0,150.0,2.833209991455078
7.621679782867432,-2.299999952316284,5.199999809265137,-0.1000000014901161,66.0999984741211,12.0,428.0,3.0445199012756348
5.214940071105957,5.800000190734863,2.5999999046325684,-0.2000000029802322,68.80000305175781,3.0,582.0,2.995729923248291
7.642039775848389,5.099999904632568,2.200000047683716,1.100000023841858,199.0,18.0,538.0,4.219510078430176
7.771490097045898,10.800000190734863,2.400000095367432,-1.5,329.79998779296875,13.0,579.0,3.0445199012756348
8.313850402832031,12.199999809265137,4.0,-2.799999952316284,230.3999938964844,17.0,572.0,3.761199951171875
7.639639854431152,-2.799999952316284,2.0999999046325684,-1.600000023841858,210.1999969482422,11.0,512.0,3.58351993560791
7.055309772491455,11.199999809265137,3.299999952316284,2.299999952316284,302.79998779296875,23.0,604.0,2.484910011291504
7.382750034332275,13.600000381469728,0.6000000238418579,-0.800000011920929,159.8000030517578,11.0,602.0,2.484910011291504
7.567860126495361,-12.300000190734863,3.700000047683716,-0.2000000029802322,70.0,12.0,460.0,3.332200050354004
7.92225980758667,4.199999809265137,1.399999976158142,0.2000000029802322,161.0,7.0,127.0,3.1354899406433105
7.387710094451904,-2.799999952316284,4.5,0.1000000014901161,53.29999923706055,21.0,417.0,2.079440116882324
7.479300022125244,3.400000095367432,7.199999809265137,0.5,209.1000061035156,12.0,477.0,3.68887996673584
3.970289945602417,-11.699999809265137,2.700000047683716,1.7000000476837158,81.0,4.0,87.0,2.995729923248291
