Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,12.753135974480585 + (-0.06211152470444237)(X_0),5,8.332350334094352,7.005836946600783,8.332350334094352,7.005836946600783,0.3158115988078107,0.4627612279281116
1,(-0.06211152470444353)(-205.3264033553535 + X_0),5,8.332350334094354,7.005836946600686,8.332350334094354,7.005836946600686,0.3158115988078105,0.462761227928119
2,(-0.07036563221205601)(X_0) + sqrt(94.87586133476616 + X_2),9,8.517224944951325,7.411104906297141,8.517224944951325,7.411104906297141,0.3006311203891715,0.4316834762352191
3,16.087100003883922 + sin(X_0) - (sqrt(X_0)),9,8.181218909004228,6.1493815961188,8.181218909004228,6.1493815961188,0.3282213468328316,0.528438037756035
4,31.149276297469747 + (-0.062111524704443484)(296.1791778663754 + X_0),5,8.332350334094352,7.005836946600728,8.332350334094352,7.005836946600728,0.3158115988078107,0.4627612279281158
5,12.753135974480571 + (-0.06211152470444359)(X_0),5,8.332350334094354,7.005836946600677,8.332350334094354,7.005836946600677,0.3158115988078105,0.4627612279281197
6,12.753135974480582 + (-0.06211152470444459)(X_0),5,8.332350334094354,7.005836946600615,8.332350334094354,7.005836946600615,0.3158115988078106,0.4627612279281244
7,16.166322061246966 - (sqrt(X_0)),7,8.613119357570383,6.829487664871785,8.613119357570383,6.829487664871785,0.2927570101774783,0.4762844760844671
8,(-0.00033994441572426367)(-36813.27968541373 + (2)(X_0) + (2)((X_0)(X_2))),9,8.380556090087197,6.734084205358627,8.380556090087197,6.734084205358627,0.3118533135943278,0.4836004381645048
9,12.753135974480578 + (-0.06211152470444281)(X_0),5,8.33235033409435,7.005836946600741,8.33235033409435,7.005836946600741,0.3158115988078108,0.4627612279281148
10,16.166322061246966 - (sqrt(X_0)),7,8.613119357570383,6.829487664871785,8.613119357570383,6.829487664871785,0.2927570101774783,0.4762844760844671
11,(1437.7986638813836)((105.37504201658966 + X_0)^(-1)),7,8.389600400070373,7.223163967990813,8.389600400070373,7.223163967990813,0.3111106645530416,0.4460956242322861
12,12.753135974480577 + log((-0.9397780724747294)^(X_0)),6,8.332350334094354,7.0058369466006845,8.332350334094354,7.0058369466006845,0.3158115988078105,0.4627612279281191
13,(-0.09619108496690823)(X_0) + sqrt(160.39464545485575 + X_0),9,8.344476603209564,7.037539845390191,8.344476603209564,7.037539845390191,0.3148158830318651,0.4603301084849157
