-- NEO GP (NSGA2)--
SEED=-1
MAX_LEN=50
POPSIZE=500
TOURNAMENT_SIZE=2
INITIAL_DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
----------------------------------
gen,fevals,|bestfront|,bestloss,obj,nll,dl,func_compl,param_compl,FBF,MSE_train,MSE_test,R2_train,R2_test,size,expression
1,20430,3,7623.2,7396.8545,7623.2,7641.643,6.931472,11.511135,7396.8545,244879.98,244332.22,0.54377145,0.53199184,5,"(3303.7947 + (-1154.377 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[494.85355]"
2,36620,4,7623.2,7396.8545,7623.2,7641.643,6.931472,11.511135,7396.8545,244879.98,244332.22,0.54377145,0.53199184,5,"(3303.7947 + (-1154.377 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[494.85355]"
3,53627,4,7623.2,7396.8545,7623.2,7641.643,6.931472,11.511135,7396.8545,244879.98,244332.22,0.54377145,0.53199184,5,"(3303.7947 + (-1154.377 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[494.85355]"
4,70548,5,7623.2,7396.8545,7623.2,7641.643,6.931472,11.511135,7396.8545,244879.98,244332.22,0.54377145,0.53199184,5,"(3303.7947 + (-1154.377 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[494.85355]"
5,88439,6,7623.2,7396.8545,7623.2,7641.643,6.931472,11.511135,7396.8545,244879.98,244332.22,0.54377145,0.53199184,5,"(3303.7947 + (-1154.377 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[494.85355]"
6,106283,7,7623.2,7396.8545,7623.2,7641.643,6.931472,11.511135,7396.8545,244879.98,244332.22,0.54377145,0.53199184,5,"(3303.7947 + (-1154.377 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[494.85355]"
7,124967,8,7623.2,7396.8545,7623.2,7641.643,6.931472,11.511135,7396.8545,244879.98,244332.22,0.54377145,0.53199184,5,"(3303.7947 + (-1154.377 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[494.85355]"
8,143465,9,7623.2,7396.8545,7623.2,7641.643,6.931472,11.511135,7396.8545,244879.98,244332.22,0.54377145,0.53199184,5,"(3303.7947 + (-1154.377 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[494.85355]"
9,162596,12,7610.3916,7394.601,7610.3916,7638.976,14.4849415,14.099567,7394.601,238686.28,237971.38,0.5553107,0.54417574,9,"((213.36717 * X8) + (3117.256 + (-1126.5469 * X1))) NeoGP.GaussianLikelihood{Float32} Float32[488.5554]"
10,182933,12,7610.3916,7394.601,7610.3916,7638.976,14.4849415,14.099567,7394.601,238686.28,237971.38,0.5553107,0.54417574,9,"((213.36717 * X8) + (3117.256 + (-1126.5469 * X1))) NeoGP.GaussianLikelihood{Float32} Float32[488.5554]"
11,202943,13,7610.3916,7394.601,7610.3916,7638.976,14.4849415,14.099567,7394.601,238686.28,237971.38,0.5553107,0.54417574,9,"((213.36717 * X8) + (3117.256 + (-1126.5469 * X1))) NeoGP.GaussianLikelihood{Float32} Float32[488.5554]"
12,223643,9,7610.3916,7394.601,7610.3916,7638.976,14.4849415,14.099567,7394.601,238686.28,237971.38,0.5553107,0.54417574,9,"((213.36717 * X8) + (3117.256 + (-1126.5469 * X1))) NeoGP.GaussianLikelihood{Float32} Float32[488.5554]"
13,243417,10,7610.3916,7394.601,7610.3916,7638.976,14.4849415,14.099567,7394.601,238686.28,237971.38,0.5553107,0.54417574,9,"((213.36717 * X8) + (3117.256 + (-1126.5469 * X1))) NeoGP.GaussianLikelihood{Float32} Float32[488.5554]"
14,262560,11,7610.3916,7394.601,7610.3916,7638.976,14.4849415,14.099567,7394.601,238686.28,237971.38,0.5553107,0.54417574,9,"((213.36717 * X8) + (3117.256 + (-1126.5469 * X1))) NeoGP.GaussianLikelihood{Float32} Float32[488.5554]"
15,283152,12,7610.391,7394.6006,7610.391,7638.9756,14.4849415,14.099581,7394.6006,238686.28,237971.38,0.5553107,0.54417574,9,"((213.37804 * X8) + (3117.2454 + (-1126.544 * X1))) NeoGP.GaussianLikelihood{Float32} Float32[488.55536]"
16,305980,15,7610.391,7394.6006,7610.391,7638.9756,14.4849415,14.099581,7394.6006,238686.28,237971.38,0.5553107,0.54417574,9,"((213.37804 * X8) + (3117.2454 + (-1126.544 * X1))) NeoGP.GaussianLikelihood{Float32} Float32[488.55536]"
17,327661,15,7610.391,7394.6006,7610.391,7638.9756,14.4849415,14.099581,7394.6006,238686.28,237971.38,0.5553107,0.54417574,9,"((213.37804 * X8) + (3117.2454 + (-1126.544 * X1))) NeoGP.GaussianLikelihood{Float32} Float32[488.55536]"
18,350723,13,7610.391,7394.6006,7610.391,7638.9756,14.4849415,14.099581,7394.6006,238686.28,237971.38,0.5553107,0.54417574,9,"((213.37804 * X8) + (3117.2454 + (-1126.544 * X1))) NeoGP.GaussianLikelihood{Float32} Float32[488.55536]"
19,375147,14,7610.391,7394.6006,7610.391,7638.9756,14.4849415,14.099581,7394.6006,238686.28,237971.38,0.5553107,0.54417574,9,"((213.37804 * X8) + (3117.2454 + (-1126.544 * X1))) NeoGP.GaussianLikelihood{Float32} Float32[488.55536]"
20,401908,16,7610.391,7394.6006,7610.391,7638.9756,14.4849415,14.099581,7394.6006,238686.28,237971.38,0.5553107,0.54417574,9,"((213.37804 * X8) + (3117.2454 + (-1126.544 * X1))) NeoGP.GaussianLikelihood{Float32} Float32[488.55536]"
21,428884,19,7610.391,7394.6006,7610.391,7638.9756,14.4849415,14.099581,7394.6006,238686.28,237971.38,0.5553107,0.54417574,9,"((213.37804 * X8) + (3117.2454 + (-1126.544 * X1))) NeoGP.GaussianLikelihood{Float32} Float32[488.55536]"
